NAMELSAD10,YEAR,POPULATION,POP_5YEAR,LAND_AREA,TOTAL_HU,SFD,SFA,MF_LOW,MF_MID,MF_HIGH,HOUSEHOLDS,HU_30UP,HU_LT30,VALUE_LOW,VALUE_MID,VALUE_HIGH,TOTAL_GFA,OFFICE_GFA,RETAIL_GFA,INDUST_GFA
Woodburn CDP,2020,8937,9002,1790.4640,3161,1486,587,1088,0,0,3116,3028,131,936,1369,91,3191725,3060943,130782,0
Burke Centre CDP,2020,17339,17370,2024.9010,6172,2299,2953,920,0,0,6153,5981,189,3250,2321,27,1611310,170736,1091745,348829
Fair Oaks CDP,2020,34151,36135,3232.2450,15101,1136,5007,8567,391,0,14763,4989,10111,4578,3764,247,13557126,6842130,6368746,346250
Crosspointe CDP,2020,6034,6042,1420.9160,1820,1820,0,0,0,0,1810,807,1012,51,1715,51,347650,0,347650,0
Wakefield CDP,2020,11726,11769,2434.22,3926,3789,137,0,0,0,3911,3777,149,137,3700,83,0,0,0,0
Mason Neck CDP,2020,2367,2403,12813.0960,817,815,2,0,0,0,797,637,172,224,438,111,1284,0,0,1284
McNair CDP,2020,22015,27369,1320.2130,9508,86,2815,6200,407,0,9256,285,9221,2564,833,0,9736348,6761503,2940195,34650
South Run CDP,2020,6843,6836,1664.0180,2123,2000,123,0,0,0,2119,1368,754,2,2056,64,2376,0,0,2376
Greenbriar CDP,2020,8190,8193,1008.9790,3134,1940,197,997,0,0,3125,2965,168,606,1737,0,798355,116581,680662,1112
Fair Lakes CDP,2020,8956,9161,1545.5970,3430,642,1452,978,358,0,3349,738,2689,1444,1064,63,5876702,2529740,3049725,297237
Fairfax Station CDP,2020,12412,12435,5870.1060,4162,3510,652,0,0,0,4112,3604,549,722,3165,246,617258,6032,470552,140674
Floris CDP,2020,8941,9673,1779.7740,2717,2242,315,160,0,0,2709,1187,1528,162,2377,16,3172700,653110,929095,1590495
Kings Park CDP,2020,4667,4670,851.2820,1467,1141,326,0,0,0,1466,1465,2,331,1136,0,231439,37920,193519,0
Kings Park West CDP,2020,14033,14085,1943.4160,4443,3019,1424,0,0,0,4437,4254,189,1218,3199,22,657411,71667,585744,0
George Mason CDP,2020,11211,11973,1619.3330,1585,1471,102,12,0,0,1562,1164,267,325,1005,39,518763,17398,440092,61273
Ravensworth CDP,2020,2709,2712,628.7010,854,854,0,0,0,0,853,841,13,161,691,2,1806873,240367,255757,1310749
Long Branch CDP,2020,8055,8085,1585.5270,2739,2436,33,270,0,0,2712,2457,279,53,2340,73,19491,0,19491,0
